"snapshot_date","segment","total_pipeline_usd","commit_usd","best_case_usd","closed_won_usd","deal_count","avg_deal_size","pipeline_wow_change","pipeline_wow_pct"
"2024-09-01",Enterprise,5667100.0,1781500.0,3959500.0,652500.0,39,708400.0,,
"2024-09-08",Enterprise,5816600.0,2819600.0,4305300.0,1260400.0,41,581700.0,149500.0,2.6
"2024-09-15",Enterprise,6963000.0,3582100.0,4233600.0,1235600.0,24,331600.0,1146400.0,19.7
"2024-09-22",Enterprise,6025100.0,1960200.0,3906700.0,441900.0,40,354400.0,-937900.0,-13.5
"2024-09-29",Enterprise,5366000.0,2795100.0,3712400.0,651800.0,26,536600.0,-659100.0,-10.9
"2024-10-06",Enterprise,5562400.0,1818700.0,3082800.0,448600.0,40,695300.0,196400.0,3.7
"2024-10-13",Enterprise,5730000.0,2731000.0,4079700.0,1120700.0,40,301600.0,167600.0,3.0
"2024-10-20",Enterprise,5990400.0,2514800.0,3905600.0,988700.0,27,399400.0,260400.0,4.5
"2024-10-27",Enterprise,5986800.0,1963000.0,4093700.0,794800.0,16,206400.0,-3600.0,-0.1
"2024-11-03",Enterprise,7104200.0,2264200.0,4683900.0,685800.0,38,355200.0,1117400.0,18.7
"2024-11-10",Enterprise,6671800.0,2216600.0,3730100.0,819800.0,20,202200.0,-432400.0,-6.1
"2024-11-17",Enterprise,6307200.0,3028400.0,3795500.0,1380200.0,26,252300.0,-364600.0,-5.5
"2024-11-24",Enterprise,5512300.0,2625900.0,3637300.0,1094000.0,34,212000.0,-794900.0,-12.6
"2024-12-01",Enterprise,6898800.0,2450200.0,4165200.0,917600.0,33,405800.0,1386500.0,25.2
"2024-12-08",Enterprise,6654100.0,2308700.0,3850800.0,757100.0,37,201600.0,-244700.0,-3.5
"2024-12-15",Enterprise,7164900.0,2339900.0,4995600.0,705500.0,13,358200.0,510800.0,7.7
"2024-12-22",Enterprise,5357300.0,1907600.0,3189400.0,602100.0,30,206000.0,-1807600.0,-25.2
"2024-12-29",Enterprise,5691500.0,2462300.0,3812900.0,994300.0,17,210800.0,334200.0,6.2
"2025-01-05",Enterprise,5568900.0,2265800.0,3872300.0,551500.0,28,348100.0,-122600.0,-2.2
"2025-01-12",Enterprise,6706200.0,2895300.0,4730000.0,1283700.0,22,515900.0,1137300.0,20.4
"2025-01-19",Enterprise,5753300.0,2049000.0,4023800.0,481900.0,17,179800.0,-952900.0,-14.2
"2025-01-26",Enterprise,6242900.0,2091500.0,4092100.0,1013600.0,38,183600.0,489600.0,8.5
"2025-02-02",Enterprise,6303500.0,3008900.0,4001100.0,743300.0,13,153700.0,60600.0,1.0
"2025-02-09",Enterprise,6577200.0,2293300.0,3760000.0,512200.0,29,730800.0,273700.0,4.3
"2025-02-16",Enterprise,7138200.0,2156600.0,4435200.0,614000.0,33,178500.0,561000.0,8.5
"2025-02-23",Enterprise,5641400.0,2345600.0,4101500.0,534800.0,22,268600.0,-1496800.0,-21.0
"2025-03-02",Enterprise,5749700.0,2602300.0,3248600.0,639400.0,39,410700.0,108300.0,1.9
"2025-03-09",Enterprise,7204300.0,3535800.0,4599300.0,1687400.0,15,163700.0,1454600.0,25.3
"2025-03-16",Enterprise,6677500.0,2939400.0,3879100.0,680700.0,32,371000.0,-526800.0,-7.3
"2025-03-23",Enterprise,5976300.0,2266900.0,4478000.0,784100.0,38,398400.0,-701200.0,-10.5
"2025-03-30",Enterprise,5831400.0,2006200.0,3372600.0,566100.0,13,216000.0,-144900.0,-2.4
"2025-04-06",Enterprise,6025400.0,2851400.0,3782900.0,578800.0,20,502100.0,194000.0,3.3
"2025-04-13",Enterprise,6562600.0,2917700.0,3657300.0,1236300.0,20,193000.0,537200.0,8.9
"2025-04-20",Enterprise,6130600.0,2379000.0,4037000.0,849200.0,29,408700.0,-432000.0,-6.6
"2025-04-27",Enterprise,6293200.0,3070700.0,4628300.0,706000.0,36,157300.0,162600.0,2.7
"2025-05-04",Enterprise,6833400.0,2917100.0,4124100.0,1159800.0,27,201000.0,540200.0,8.6
"2024-09-01",Mid-Market,4373800.0,1654100.0,2484400.0,370300.0,23,336400.0,,
"2024-09-08",Mid-Market,4657000.0,2457600.0,3256100.0,1018100.0,42,155200.0,283200.0,6.5
"2024-09-15",Mid-Market,4493900.0,1539700.0,3343200.0,464100.0,23,107000.0,-163100.0,-3.5
"2024-09-22",Mid-Market,4268500.0,1658200.0,2352100.0,774500.0,19,129300.0,-225400.0,-5.0
"2024-09-29",Mid-Market,3971700.0,1627000.0,2851200.0,404400.0,30,113500.0,-296800.0,-7.0
"2024-10-06",Mid-Market,4263600.0,2093800.0,3096900.0,734000.0,32,266500.0,291900.0,7.3
"2024-10-13",Mid-Market,4077300.0,1509700.0,2336300.0,421300.0,23,116500.0,-186300.0,-4.4
"2024-10-20",Mid-Market,3947800.0,1234600.0,2492900.0,360400.0,22,179400.0,-129500.0,-3.2
"2024-10-27",Mid-Market,4203200.0,1898300.0,2674000.0,523300.0,39,135600.0,255400.0,6.5
"2024-11-03",Mid-Market,3880400.0,2103500.0,2820300.0,936500.0,20,107800.0,-322800.0,-7.7
"2024-11-10",Mid-Market,4476800.0,1929200.0,3315000.0,843600.0,18,179100.0,596400.0,15.4
"2024-11-17",Mid-Market,4041000.0,1432300.0,2785600.0,664200.0,40,109200.0,-435800.0,-9.7
"2024-11-24",Mid-Market,5160900.0,1819200.0,2958400.0,717800.0,31,184300.0,1119900.0,27.7
"2024-12-01",Mid-Market,4800500.0,2266000.0,3548200.0,628100.0,43,228600.0,-360400.0,-7.0
"2024-12-08",Mid-Market,5098500.0,1759500.0,3091800.0,515600.0,19,154500.0,298000.0,6.2
"2024-12-15",Mid-Market,4160300.0,1335000.0,2406800.0,518300.0,8,520000.0,-938200.0,-18.4
"2024-12-22",Mid-Market,3853600.0,1199000.0,2539300.0,276700.0,34,226700.0,-306700.0,-7.4
"2024-12-29",Mid-Market,4656200.0,1534600.0,3420700.0,730400.0,10,273900.0,802600.0,20.8
"2025-01-05",Mid-Market,4875000.0,1641200.0,2825300.0,548200.0,38,406300.0,218800.0,4.7
"2025-01-12",Mid-Market,4552300.0,1926300.0,2992000.0,518200.0,13,101200.0,-322700.0,-6.6
"2025-01-19",Mid-Market,4446500.0,2262400.0,2936000.0,1084600.0,34,193300.0,-105800.0,-2.3
"2025-01-26",Mid-Market,3931600.0,1255200.0,2610000.0,557500.0,17,206900.0,-514900.0,-11.6
"2025-02-02",Mid-Market,4360100.0,1769800.0,3225000.0,595200.0,24,99100.0,428500.0,10.9
"2025-02-09",Mid-Market,4469500.0,2070200.0,2820400.0,650300.0,11,144200.0,109400.0,2.5
"2025-02-16",Mid-Market,4587500.0,2022800.0,3248100.0,432300.0,28,352900.0,118000.0,2.6
"2025-02-23",Mid-Market,4617700.0,1826400.0,3081300.0,832100.0,26,256500.0,30200.0,0.7
"2025-03-02",Mid-Market,4282700.0,1670600.0,3088600.0,550100.0,32,186200.0,-335000.0,-7.3
"2025-03-09",Mid-Market,4315500.0,1390900.0,2528200.0,600300.0,24,113600.0,32800.0,0.8
"2025-03-16",Mid-Market,4432600.0,2302100.0,3316700.0,489900.0,11,192700.0,117100.0,2.7
"2025-03-23",Mid-Market,4812900.0,2547800.0,3535100.0,1096700.0,20,145800.0,380300.0,8.6
"2025-03-30",Mid-Market,5146100.0,1818400.0,3048000.0,376200.0,35,205800.0,333200.0,6.9
"2025-04-06",Mid-Market,4093100.0,2191800.0,2645500.0,790500.0,18,116900.0,-1053000.0,-20.5
"2025-04-13",Mid-Market,4179800.0,2008700.0,3125000.0,970200.0,16,116100.0,86700.0,2.1
"2025-04-20",Mid-Market,5035500.0,2142700.0,3643400.0,878100.0,37,148100.0,855700.0,20.5
"2025-04-27",Mid-Market,5168700.0,2592000.0,2950100.0,1023600.0,34,369200.0,133200.0,2.6
"2025-05-04",Mid-Market,4382500.0,2213600.0,3027300.0,934900.0,8,141400.0,-786200.0,-15.2
"2024-09-01",SMB,2716700.0,1303000.0,1996100.0,350000.0,13,100600.0,,
"2024-09-08",SMB,2712200.0,1490300.0,1973400.0,610100.0,33,339000.0,-4500.0,-0.2
"2024-09-15",SMB,2436600.0,954600.0,1405100.0,292100.0,11,69600.0,-275600.0,-10.2
"2024-09-22",SMB,3052700.0,1596900.0,2196900.0,346900.0,8,82500.0,616100.0,25.3
"2024-09-29",SMB,2676300.0,1053300.0,1667000.0,492600.0,42,107100.0,-376400.0,-12.3
"2024-10-06",SMB,3072400.0,1676700.0,1762800.0,581300.0,39,192000.0,396100.0,14.8
"2024-10-13",SMB,2684000.0,994600.0,1520500.0,326900.0,17,67100.0,-388400.0,-12.6
"2024-10-20",SMB,2620000.0,965400.0,1541700.0,235400.0,9,131000.0,-64000.0,-2.4
"2024-10-27",SMB,2442200.0,733000.0,1665800.0,217300.0,26,64300.0,-177800.0,-6.8
"2024-11-03",SMB,2821700.0,994700.0,1768700.0,463700.0,16,188100.0,379500.0,15.5
"2024-11-10",SMB,3084900.0,1615600.0,1973400.0,670800.0,35,257100.0,263200.0,9.3
"2024-11-17",SMB,2606200.0,1289600.0,1642300.0,363000.0,19,325800.0,-478700.0,-15.5
"2024-11-24",SMB,3058100.0,1129800.0,1763300.0,522000.0,11,133000.0,451900.0,17.3
"2024-12-01",SMB,2438200.0,1323700.0,1603000.0,653400.0,45,174200.0,-619900.0,-20.3
"2024-12-08",SMB,2696700.0,1118700.0,1923100.0,282900.0,44,69100.0,258500.0,10.6
"2024-12-15",SMB,2606000.0,853500.0,1440400.0,383400.0,10,162900.0,-90700.0,-3.4
"2024-12-22",SMB,2682900.0,968400.0,1767300.0,271400.0,42,178900.0,76900.0,3.0
"2024-12-29",SMB,2432300.0,796700.0,1387300.0,387800.0,30,202700.0,-250600.0,-9.3
"2025-01-05",SMB,3050600.0,1533500.0,2111800.0,341800.0,8,179400.0,618300.0,25.4
"2025-01-12",SMB,2407000.0,1290100.0,1767500.0,406300.0,43,61700.0,-643600.0,-21.1
"2025-01-19",SMB,3070700.0,1628100.0,1725500.0,496300.0,16,118100.0,663700.0,27.6
"2025-01-26",SMB,2354800.0,1199400.0,1705100.0,250700.0,31,138500.0,-715900.0,-23.3
"2025-02-02",SMB,2343600.0,1079500.0,1572200.0,272100.0,18,293000.0,-11200.0,-0.5
"2025-02-09",SMB,2612800.0,1321100.0,1947000.0,504000.0,12,70600.0,269200.0,11.5
"2025-02-16",SMB,2447100.0,857500.0,1800700.0,233300.0,13,55600.0,-165700.0,-6.3
"2025-02-23",SMB,2624900.0,1274000.0,1496700.0,563400.0,17,291700.0,177800.0,7.3
"2025-03-02",SMB,3098700.0,1401200.0,2028600.0,603300.0,36,193700.0,473800.0,18.1
"2025-03-09",SMB,2371200.0,897300.0,1747200.0,222900.0,25,53900.0,-727500.0,-23.5
"2025-03-16",SMB,2592100.0,1325100.0,1919200.0,413600.0,34,64800.0,220900.0,9.3
"2025-03-23",SMB,2672400.0,1230900.0,1950900.0,417900.0,13,140700.0,80300.0,3.1
"2025-03-30",SMB,2755200.0,1507000.0,1942000.0,329600.0,31,78700.0,82800.0,3.1
"2025-04-06",SMB,2967700.0,958900.0,2167400.0,290200.0,27,164900.0,212500.0,7.7
"2025-04-13",SMB,2416900.0,1002200.0,1400600.0,460300.0,15,71100.0,-550800.0,-18.6
"2025-04-20",SMB,3082100.0,1369100.0,1704000.0,608100.0,9,114200.0,665200.0,27.5
"2025-04-27",SMB,2648100.0,983100.0,1805800.0,397300.0,26,189100.0,-434000.0,-14.1
"2025-05-04",SMB,2741800.0,901000.0,1977600.0,437100.0,30,74100.0,93700.0,3.5
"2024-09-01",Strategic,5123900.0,2080300.0,3339400.0,872100.0,38,131400.0,,
"2024-09-08",Strategic,4645000.0,2513700.0,3181300.0,1167800.0,41,211100.0,-478900.0,-9.3
"2024-09-15",Strategic,3828000.0,1752400.0,2406800.0,835800.0,40,382800.0,-817000.0,-17.6
"2024-09-22",Strategic,4379500.0,2313600.0,2414800.0,996800.0,24,199100.0,551500.0,14.4
"2024-09-29",Strategic,4005500.0,1623300.0,2468300.0,340000.0,20,105400.0,-374000.0,-8.5
"2024-10-06",Strategic,4861000.0,1745700.0,3333000.0,528300.0,8,138900.0,855500.0,21.4
"2024-10-13",Strategic,4079700.0,2095800.0,2757000.0,512700.0,15,255000.0,-781300.0,-16.1
"2024-10-20",Strategic,4188500.0,1550300.0,2597700.0,504500.0,28,380800.0,108800.0,2.7
"2024-10-27",Strategic,4311800.0,2166700.0,3012100.0,816100.0,31,187500.0,123300.0,2.9
"2024-11-03",Strategic,4545300.0,1538200.0,2616100.0,500600.0,24,105700.0,233500.0,5.4
"2024-11-10",Strategic,4493300.0,1946100.0,2932800.0,433000.0,36,112300.0,-52000.0,-1.1
"2024-11-17",Strategic,4570400.0,1566600.0,2555400.0,425300.0,10,268800.0,77100.0,1.7
"2024-11-24",Strategic,4263300.0,1340000.0,3040500.0,599200.0,22,170500.0,-307100.0,-6.7
"2024-12-01",Strategic,4427200.0,2135900.0,2819100.0,522200.0,38,340600.0,163900.0,3.8
"2024-12-08",Strategic,3960300.0,1709600.0,2753800.0,756300.0,14,123800.0,-466900.0,-10.5
"2024-12-15",Strategic,4013000.0,1966000.0,2923400.0,874200.0,27,138400.0,52700.0,1.3
"2024-12-22",Strategic,4129900.0,2146500.0,2589300.0,998700.0,15,105900.0,116900.0,2.9
"2024-12-29",Strategic,4668400.0,1735500.0,3385000.0,488200.0,39,150600.0,538500.0,13.0
"2025-01-05",Strategic,4070500.0,1613000.0,2498700.0,527700.0,34,140400.0,-597900.0,-12.8
"2025-01-12",Strategic,4142500.0,1245700.0,3101800.0,255600.0,43,109000.0,72000.0,1.8
"2025-01-19",Strategic,4814700.0,2282300.0,3057000.0,493500.0,14,107000.0,672200.0,16.2
"2025-01-26",Strategic,4800500.0,1973000.0,3259400.0,402400.0,15,282400.0,-14200.0,-0.3
"2025-02-02",Strategic,4334700.0,2331100.0,3028300.0,746200.0,11,197000.0,-465800.0,-9.7
"2025-02-09",Strategic,4148400.0,1413300.0,2369900.0,372500.0,8,153600.0,-186300.0,-4.3
"2025-02-16",Strategic,4088100.0,1994800.0,2841800.0,981800.0,14,141000.0,-60300.0,-1.5
"2025-02-23",Strategic,4915100.0,2278400.0,3459100.0,565800.0,40,119900.0,827000.0,20.2
"2025-03-02",Strategic,4911400.0,1648500.0,3556300.0,600300.0,13,125900.0,-3700.0,-0.1
"2025-03-09",Strategic,4484100.0,1752700.0,2723300.0,565600.0,16,124600.0,-427300.0,-8.7
"2025-03-16",Strategic,4594700.0,2359200.0,2732000.0,1090500.0,13,153200.0,110600.0,2.5
"2025-03-23",Strategic,4200800.0,1300400.0,2441300.0,443400.0,21,150000.0,-393900.0,-8.6
"2025-03-30",Strategic,5004600.0,2066200.0,3172600.0,545900.0,24,263400.0,803800.0,19.1
"2025-04-06",Strategic,4800700.0,2134500.0,2779200.0,852100.0,28,600100.0,-203900.0,-4.1
"2025-04-13",Strategic,4765200.0,2352100.0,3193600.0,622900.0,21,238300.0,-35500.0,-0.7
"2025-04-20",Strategic,5075600.0,2104900.0,3170300.0,770000.0,18,120800.0,310400.0,6.5
"2025-04-27",Strategic,4609700.0,1420500.0,2802600.0,463400.0,22,124600.0,-465900.0,-9.2
"2025-05-04",Strategic,4734000.0,1425100.0,3464400.0,299000.0,9,278500.0,124300.0,2.7
